Syn_Fam,Acc_Fam,Clade
Ophiopogonaceae,Asparagaceae,Asparagales
Ophioxylaceae,Apocynaceae,Gentianales
Ophiraceae,Grubbiaceae,Cornales
Ophiuraceae,Poaceae,Poales
Ophrydaceae,Orchidaceae,Asparagales
Opiliaceae,Opiliaceae,Santalales
Oporanthaceae,Amaryllidaceae,Asparagales
Opuntiaceae,Cactaceae,Caryophyllales
Orchidaceae,Orchidaceae,Asparagales
Ornithogalaceae,Asparagaceae,Asparagales
Ornithrophaceae,Cunoniaceae,Oxalidales
Orobanchaceae,Orobanchaceae,Lamiales
Orontiaceae,Araceae,Alismatales
Ortegaceae,Caryophyllaceae,Caryophyllales
Oryzaceae,Poaceae,Poales
Osyridaceae,Santalaceae,Santalales
Oxalidaceae,Oxalidaceae,Oxalidales
Oxycladaceae,Plantaginaceae,Lamiales
Oxycoccaceae,Ericaceae,Ericales
Oxystylidaceae,Cleomaceae,Brassicales
Pachysandraceae,Buxaceae,Buxales
Pacouriaceae,Apocynaceae,Gentianales
Paeoniaceae,Paeoniaceae,Saxifragales
Pagamaeaceae,Rubiaceae,Gentianales
Paivaeusaceae,Picrodendraceae,Malpighiales
Palmae,Palmae,Arecales
Pancratiaceae,Amaryllidaceae,Asparagales
Pandaceae,Pandaceae,Malpighiales
Pandanaceae,Pandanaceae,Pandanales
Pangiaceae,Achariaceae,Malpighiales
Panicaceae,Poaceae,Poales
Papaveraceae,Papaveraceae,Ranunculales
Papayaceae,Caricaceae,Brassicales
Papilionaceae,Fabaceae,Fabales
Pappophoraceae,Poaceae,Poales
Papyraceae,Cyperaceae,Poales
Paracryphiaceae,Paracryphiaceae,Paracryphiales
Parasitaxaceae,Podocarpaceae,Cupressales
Parianaceae,Poaceae,Poales
Paridaceae,Melanthiaceae,Liliales
Parkeriaceae,Pteridaceae,Polypodiales
Parnassiaceae,Celastraceae,Celastrales
Paronychiaceae,Caryophyllaceae,Caryophyllales
Paropsiaceae,Passifloraceae,Malpighiales
Parrotiaceae,Hamamelidaceae,Saxifragales
Partheniaceae,Asteraceae,Asterales
Paspalaceae,Poaceae,Poales
Passifloraceae,Passifloraceae,Malpighiales
Pastinacaceae,Apiaceae,Apiales
Paulliniaceae,Sapindaceae,Sapindales
Paulowniaceae,Paulowniaceae,Lamiales
Paviaceae,Sapindaceae,Sapindales
Pectiantiaceae,Saxifragaceae,Saxifragales
Pedaliaceae,Pedaliaceae,Lamiales
Pedicularidaceae,Orobanchaceae,Lamiales
Peganaceae,Nitrariaceae,Sapindales
Peliosanthaceae,Asparagaceae,Asparagales
Pellicieraceae,Tetrameristaceae,Ericales
Peltantheraceae,Peltantheraceae,Lamiales
Penaeaceae,Penaeaceae,Myrtales
Pennantiaceae,Pennantiaceae,Apiales
Pentadiplandraceae,Pentadiplandraceae,Brassicales
Pentapetaceae,Malvaceae,Malvales
Pentaphragmataceae,Pentaphragmataceae,Asterales
Pentaphylacaceae,Pentaphylacaceae,Ericales
Pentastemonaceae,Stemonaceae,Pandanales
Penthoraceae,Penthoraceae,Saxifragales
Peperomiaceae,Piperaceae,Piperales
Peraceae,Peraceae,Malpighiales
Peranemataceae,Dryopteridaceae,Polypodiales-eupolypod_I
Perdiciaceae,Asteraceae,Asterales
Peridiscaceae,Peridiscaceae,Saxifragales
Periplocaceae,Apocynaceae,Gentianales
Peripterygiaceae,Cardiopteridaceae,Aquifoliales
Perseaceae,Lauraceae,Laurales
Persicariaceae,Polygonaceae,Caryophyllales
Petenaeaceae,Petenaeaceae,Huerteales
Petermanniaceae,Petermanniaceae,Liliales
Petiveriaceae,Petiveriaceae,Caryophyllales
Petreaceae,Verbenaceae,Lamiales
Petrosaviaceae,Petrosaviaceae,Petrosaviales
Phalaridaceae,Poaceae,Poales
Phaleriaceae,Thymelaeaceae,Malvales
Pharaceae,Poaceae,Poales
Pharnaceaceae,Molluginaceae,Caryophyllales
Phaseolaceae,Fabaceae,Fabales
Phellinaceae,Phellinaceae,Asterales
Phelypaeaceae,Orobanchaceae,Lamiales
Pherosphaeraceae,Podocarpaceae,Cupressales
Philadelphaceae,Hydrangeaceae,Cornales
Philesiaceae,Philesiaceae,Liliales
Philippodendraceae,Malvaceae,Malvales
Philocrenaceae,Podostemaceae,Malpighiales
Philodendraceae,Araceae,Alismatales
Philydraceae,Philydraceae,Commelinales
Phleaceae,Poaceae,Poales
Phoenicaceae,Arecaceae,Arecales
Phoradendraceae,Santalaceae,Santalales
Phormiaceae,Asphodelaceae,Asparagales
Phrymaceae,Phrymaceae,Lamiales
Phylicaceae,Rhamnaceae,Rosales
Phyllanthaceae,Phyllanthaceae,Malpighiales
Phyllocladaceae,Podocarpaceae,Cupressales
Phyllonomaceae,Phyllonomaceae,Aquifoliales
Physenaceae,Physenaceae,Caryophyllales
Phytelephaceae,Arecaceae,Arecales
Phytocrenaceae,Icacinaceae,Icacinales
Phytolaccaceae,Phytolaccaceae,Caryophyllales
Piceaceae,Pinaceae,Pinales
Picramniaceae,Picramniaceae,Picramniales
Picridaceae,Asteraceae,Asterales
Picrodendraceae,Picrodendraceae,Malpighiales
Pilgerodendraceae,Cupressaceae,Cupressales
Pilocarpaceae,Rutaceae,Sapindales
Pilulariaceae,Marsileaceae,Marsileales
Pimpinellaceae,Apiaceae,Apiales
Pinaceae,Pinaceae,Pinales
Pinguiculaceae,Lentibulariaceae,Lamiales
Piperaceae,Piperaceae,Piperales
Piriquetaceae,Passifloraceae,Malpighiales
Pisoniaceae,Nyctaginaceae,Caryophyllales
Pistaciaceae,Anacardiaceae,Sapindales
Pistiaceae,Araceae,Alismatales
Pittosporaceae,Pittosporaceae,Apiales
Plagianthaceae,Malvaceae,Malvales
Plagiogyraceae,Plagiogyraceae,Cyatheales
Plagiopteraceae,Celastraceae,Celastrales
Plantaginaceae,Plantaginaceae,Lamiales
Platanaceae,Platanaceae,Proteales
Platycaryaceae,Juglandaceae,Fagales
Platyceriaceae,Polypodiaceae,Polypodiales-eupolypod_I
Platycladaceae,Cupressaceae,Cupressales
Platyspermataceae,Alseuosmiaceae,Asterales
Platyzomataceae,Pteridaceae,Polypodiales
Plectroniaceae,Penaeaceae,Myrtales
Pleurisanthaceae,Icacinaceae,Icacinales
Pleurisoriopsidaceae,Polypodiaceae,Polypodiales-eupolypod_I
Platystemonaceae,Papaveraceae,Ranunculales
Plocospermataceae,Plocospermataceae,Lamiales
Plumbaginaceae,Plumbaginaceae,Caryophyllales
Plumeriaceae,Apocynaceae,Gentianales
Poaceae,Poaceae,Poales
Podoaceae,Anacardiaceae,Sapindales
Podocarpaceae,Podocarpaceae,Cupressales
Podophyllaceae,Berberidaceae,Ranunculales
Podostemaceae,Podostemaceae,Malpighiales
Polemoniaceae,Polemoniaceae,Ericales
Poliothyrsidaceae,Salicaceae,Malpighiales
Polpodaceae,Molluginaceae,Caryophyllales
Polycarpaeaceae,Caryophyllaceae,Caryophyllales
Polycnemaceae,Amaranthaceae,Caryophyllales
Polygalaceae,Polygalaceae,Fabales
Polygonaceae,Polygonaceae,Caryophyllales
Polygonanthaceae,Anisophylleaceae,Cucurbitales
Polygonataceae,Asparagaceae,Asparagales
Polyosmaceae,Escalloniaceae,Escalloniales
Polypodiaceae,Polypodiaceae,Polypodiales-eupolypod_I
Polypremaceae,Tetrachondraceae,Lamiales
Pontederiaceae,Pontederiaceae,Commelinales
Poranaceae,Convolvulaceae,Solanales
Porantheraceae,Phyllanthaceae,Malpighiales
Portulacaceae,Portulacaceae,Caryophyllales
Portulacariaceae,Didiereaceae,Caryophyllales
Posidoniaceae,Posidoniaceae,Alismatales
Potaliaceae,Gentianaceae,Gentianales
Potamogetonaceae,Potamogetonaceae,Alismatales
Potentillaceae,Rosaceae,Rosales
Poteriaceae,Rosaceae,Rosales
Pothaceae,Araceae,Alismatales
Pottingeriaceae,Celastraceae,Celastrales
Primulaceae,Primulaceae,Ericales
Prioniaceae,Thurniaceae,Poales
Prionotaceae,Ericaceae,Ericales
Prockiaceae,Salicaceae,Malpighiales
Proteaceae,Proteaceae,Proteales
Prumnopityaceae,Podocarpaceae,Cupressales
Prunaceae,Rosaceae,Rosales
Pseliaceae,Menispermaceae,Ranunculales
Pseudanthaceae,Picrodendraceae,Malpighiales
Pseudophoenicaceae,Arecaceae,Arecales
Psilotaceae,Psilotaceae,Ophioglossales
Psiloxylaceae,Myrtaceae,Myrtales
Psittacanthaceae,Loranthaceae,Santalales
Psychotriaceae,Rubiaceae,Gentianales
Psylliaceae,Plantaginaceae,Lamiales
Ptaeroxylaceae,Rutaceae,Sapindales
Pteleaceae,Rutaceae,Sapindales
Pteleocarpaceae,Gelsemiaceae,Gentianales
Pteridaceae,Pteridaceae,Polypodiales
Pteridiaceae,Dennstaedtiaceae,Polypodiales
Pteridophyllaceae,Papaveraceae,Ranunculales
Pterisanthaceae,Vitaceae,Vitales
Pterostemonaceae,Iteaceae,Saxifragales
Punicaceae,Lythraceae,Myrtales
Putranjivaceae,Putranjivaceae,Malpighiales
Pycnanthaceae,Orchidaceae,Orchidales
Pyraceae,Rosaceae,Rosales
Pyrolaceae,Pyroloideae,Ericales
Quassiaceae,Simaroubaceae,Sapindales
Quercaceae,Fagaceae,Fagales
Quiinaceae,Ochnaceae,Malpighiales
Quillajaceae,Quillajaceae,Fabales
Quintiniaceae,Paracryphiaceae,Paracryphiales
Rafflesiaceae,Rafflesiaceae,Malpighiales
Ramondaceae,Gesneriaceae,Lamiales
Randiaceae,Rubiaceae,Gentianales
Ranunculaceae,Ranunculaceae,Ranunculales
Ranzaniaceae,Berberidaceae,Ranunculales
Rapateaceae,Rapateaceae,Poales
Raphanaceae,Brassicaceae,Brassicales
Reaumuriaceae,Tamaricaceae,Caryophyllales
Rehmanniaceae,Orobanchaceae,Lamiales
Resedaceae,Resedaceae,Brassicales
Restionaceae,Restionaceae,Poales
Retziaceae,Stilbaceae,Lamiales
Rhabdodendraceae,Rhabdodendraceae,Caryophyllales
Rhachidosoraceae,Rhachidosoraceae,Polypodiales-eupolypod_II
Rhamnaceae,Rhamnaceae,Rosales
Rhaptopetalaceae,Lecythidaceae,Ericales
Rhexiaceae,Melastomataceae,Myrtales
Rhinanthaceae,Orobanchaceae,Lamiales
Rhipogonaceae,Rhipogonaceae,Liliales
Rhizophoraceae,Rhizophoraceae,Malpighiales
Rhoaceae,Anacardiaceae,Sapindales
Rhodiolaceae,Crassulaceae,Saxifragales
Rhododendraceae,Ericaceae,Ericales
Rhodolaenaceae,Sarcolaenaceae,Malvales
Rhodoleiaceae,Hamamelidaceae,Saxifragales
Rhodoraceae,Ericaceae,Ericales
Rhodotypaceae,Rosaceae,Rosales
Rhoipteleaceae,Juglandaceae,Fagales
Rhopalocarpaceae,Sphaerosepalaceae,Malvales
Rhynchocalycaceae,Penaeaceae,Myrtales
Rhynchothecaceae,Francoaceae,Geraniales
Ribesiaceae,Grossulariaceae,Saxifragales
Ricinaceae,Euphorbiaceae,Malpighiales
Ricinocarpaceae,Euphorbiaceae,Malpighiales
Rivinaceae,Petiveriaceae,Caryophyllales
Roridulaceae,Roridulaceae,Ericales
Rosaceae,Rosaceae,Rosales
Rousseaceae,Rousseaceae,Asterales
Roxburghiaceae,Stemonaceae,Pandanales
Rubiaceae,Rubiaceae,Gentianales
Rumicaceae,Polygonaceae,Caryophyllales
Ruppiaceae,Ruppiaceae,Alismatales
Ruscaceae,Asparagaceae,Asparagales
Rutaceae,Rutaceae,Sapindales
Sabalaceae,Arecaceae,Arecales
Sabiaceae,Sabiaceae,Proteales
Sabiceaceae,Rubiaceae,Gentianales
Sabulinaceae,Caryophyllaceae,Caryophyllales
Saccharaceae,Poaceae,Poales
Saccifoliaceae,Gentianaceae,Gentianales
Saccolomataceae,Saccolomataceae,Polypodiales
Sagaceae,Arecaceae,Arecales
Saginaceae,Caryophyllaceae,Caryophyllales
Sagoneaceae,Hydroleaceae,Solanales
Salaciaceae,Celastraceae,Celastrales
Salaxidaceae,Ericaceae,Ericales
Salazariaceae,Lamiaceae,Lamiales
Salicaceae,Salicaceae,Malpighiales
Salicorniaceae,Amaranthaceae,Caryophyllales
Salpiglossidaceae,Solanaceae,Solanales
Salsolaceae,Amaranthaceae,Caryophyllales
Salvadoraceae,Salvadoraceae,Brassicales
Salviaceae,Lamiaceae,Lamiales
Salviniaceae,Salviniaceae,Marsileales
Sambucaceae,Viburnaceae,Dipsacales
Samolaceae,Primulaceae,Ericales
Samydaceae,Salicaceae,Malpighiales
Sanguisorbaceae,Rosaceae,Rosales
Saniculaceae,Apiaceae,Apiales
Sansevieriaceae,Asparagaceae,Asparagales
Santalaceae,Santalaceae,Santalales
Santolinaceae,Asteraceae,Asterales
Sapindaceae,Sapindaceae,Sapindales
Sapotaceae,Sapotaceae,Ericales
Sarbaicarpaceae,Sarbaicarpaceae,fossil_Sarbaicarpales
Sarcobataceae,Sarcobataceae,Caryophyllales
Sarcocaceae,Phytolaccaceae,Caryophyllales
Sarcolaenaceae,Sarcolaenaceae,Malvales
Sarcophytaceae,Balanophoraceae,Santalales
Sarcospermataceae,Sapotaceae,Ericales
Sarcostigmataceae,Icacinaceae,Icacinales
Sargentodoxaceae,Lardizabalaceae,Ranunculales
Sarraceniaceae,Sarraceniaceae,Ericales
Saturejaceae,Lamiaceae,Lamiales
Saurauiaceae,Actinidiaceae,Ericales
Saururaceae,Saururaceae,Piperales
Sauvagesiaceae,Ochnaceae,Malpighiales
Saxegothaeaceae,Podocarpaceae,Cupressales
Saxifragaceae,Saxifragaceae,Saxifragales
Scabiosaceae,Caprifoliaceae,Dipsacales
Scaevolaceae,Goodeniaceae,Asterales
Scandicaceae,Apiaceae,Apiales
Scepaceae,Phyllanthaceae,Malpighiales
Scheuchzeriaceae,Scheuchzeriaceae,Alismatales
Schinaceae,Anacardiaceae,Sapindales
Schisandraceae,Schisandraceae,Austrobaileyales
Schizaeaceae,Schizaeaceae,Schizaeales
Schizolaenaceae,Sarcolaenaceae,Malvales
Schizopetalaceae,Brassicaceae,Brassicales
Schlegeliaceae,Schlegeliaceae,Lamiales
Schoepfiaceae,Schoepfiaceae,Santalales
Schreberaceae,Oleaceae,Lamiales
Sciadopityaceae,Sciadopityaceae,Cupressales
Scillaceae,Asparagaceae,Asparagales
Scirpaceae,Cyperaceae,Poales
Scleranthaceae,Caryophyllaceae,Caryophyllales
Scleriaceae,Cyperaceae,Poales
Sclerophylacaceae,Solanaceae,Solanales
Scoliopaceae,Streptopoideae,Liliales
Scopariaceae,Plantaginaceae,Lamiales
Scorodocarpaceae,Strombosiaceae,Santalales
Scrophulariaceae,Scrophulariaceae,Lamiales
Scutellariaceae,Lamiaceae,Lamiales
Scybaliaceae,Balanophoraceae,Santalales
Scyphostegiaceae,Salicaceae,Malpighiales
Scytopetalaceae,Lecythidaceae,Ericales
Sebestenaceae,Cordiaceae,Boraginales
Sedaceae,Crassulaceae,Saxifragales
Seguieriaceae,Petiveriaceae,Caryophyllales
Selaginaceae,Scrophulariaceae,Lamiales
Selaginellaceae,Selaginellaceae,Lycopodiales
Selinaceae,Apiaceae,Apiales
Sempervivaceae,Crassulaceae,Saxifragales
Senecionaceae,Asteraceae,Asterales
Sequoiaceae,Cupressaceae,Cupressales
Serratulaceae,Asteraceae,Asterales
Sesamaceae,Pedaliaceae,Lamiales
Sesleriaceae,Poaceae,Poales
Sesuviaceae,Aizoaceae,Caryophyllales
Setchellanthaceae,Setchellanthaceae,Brassicales
Sheadendraceae,Combretaceae,Myrtales
Sibthorpiaceae,Plantaginaceae,Lamiales
Sidaceae,Malvaceae,Malvales
Silenaceae,Caryophyllaceae,Caryophyllales
Sileraceae,Apiaceae,Apiales
Simabaceae,Simaroubaceae,Sapindales
Simaroubaceae,Simaroubaceae,Sapindales
Simmondsiaceae,Simmondsiaceae,Caryophyllales
Sinofranchetiaceae,Lardizabalaceae,Ranunculales
Sinopteridaceae,Pteridaceae,Polypodiales
Siparunaceae,Siparunaceae,Laurales
Siphonanthaceae,Lamiaceae,Lamiales
Siphonodontaceae,Celastraceae,Celastrales
Sisymbriaceae,Brassicaceae,Brassicales
Sladeniaceae,Sladeniaceae,Ericales
Smeathmanniaceae,Passifloraceae,Malpighiales
Smilacaceae,Smilacaceae,Liliales
Smyrniaceae,Apiaceae,Apiales
Solanaceae,Solanaceae,Solanales
Sonneratiaceae,Lythraceae,Myrtales
Soramiaceae,Dilleniaceae,Dilleniales
Sorbaceae,Rosaceae,Rosales
Soulameaceae,Simaroubaceae,Sapindales
Soyauxiaceae,Peridiscaceae,Saxifragales
Sparganiaceae,Typhaceae,Poales
Sparmanniaceae,Malvaceae,Malvales
Spartinaceae,Poaceae,Poales
Spatheliaceae,Rutaceae,Sapindales
Spergulaceae,Caryophyllaceae,Caryophyllales
Spermacoceaceae,Rubiaceae,Gentianales
Sphaerosepalaceae,Sphaerosepalaceae,Malvales
Sphenocleaceae,Sphenocleaceae,Solanales
Sphenostemonaceae,Paracryphiaceae,Paracryphiales
Spigeliaceae,Loganiaceae,Gentianales
Spinaciaceae,Amaranthaceae,Caryophyllales
Spiraeaceae,Rosaceae,Rosales
Spiraeanthemaceae,Cunoniaceae,Oxalidales
Spondiadaceae,Anacardiaceae,Sapindales
Sporobolaceae,Poaceae,Poales
Stachydaceae,Lamiaceae,Lamiales
Stachyuraceae,Stachyuraceae,Crossosomatales
Stackhousiaceae,Celastraceae,Celastrales
Stangeriaceae,Zamiaceae,Cycadales
Stanleyaceae,Brassicaceae,Brassicales
Stapeliaceae,Apocynaceae,Gentianales
Staphyleaceae,Staphyleaceae,Crossosomatales
Staticaceae,Plumbaginaceae,Caryophyllales
Stegnospermataceae,Stegnospermataceae,Caryophyllales
Stellariaceae,Caryophyllaceae,Caryophyllales
Stemonaceae,Stemonaceae,Pandanales
Stemonuraceae,Stemonuraceae,Aquifoliales
Stenomeridaceae,Dioscoreaceae,Dioscoreales
Sterculiaceae,Malvaceae,Malvales
Stilaginaceae,Phyllanthaceae,Malpighiales
Stilbaceae,Stilbaceae,Lamiales
Stipaceae,Poaceae,Poales
Stixidaceae,Resedaceae,Brassicales
Strasburgeriaceae,Strasburgeriaceae,Crossosomatales
Stratiotaceae,Hydrocharitaceae,Alismatales
Strelitziaceae,Strelitziaceae,Zingiberales
Streptochaetaceae,Poaceae,Poales
Stromatopteridaceae,Gleicheniaceae,Gleicheniales
Strombosiaceae,Strombosiaceae,Santalales
Strumariaceae,Amaryllidaceae,Asparagales
Strychnaceae,Loganiaceae,Gentianales
Stylidiaceae,Stylidiaceae,Asterales
Stylobasiaceae,Surianaceae,Fabales
Stylocerataceae,Buxaceae,Buxales
Stypheliaceae,Ericaceae,Ericales
Styracaceae,Styracaceae,Ericales
Surianaceae,Surianaceae,Fabales
Swartziaceae,Fabaceae,Fabales
Swieteniaceae,Meliaceae,Sapindales
Symphoremataceae,Lamiaceae,Lamiales
Symplocaceae,Symplocaceae,Ericales
Synechanthaceae,Arecaceae,Arecales
Syringaceae,Oleaceae,Lamiales
Taccaceae,Taccaceae,Dioscoreales
Taenitidaceae,Pteridaceae,Polypodiales
Taiwaniaceae,Cupressaceae,Cupressales
Taktajaniaceae,Winteraceae,Canellales
Talinaceae,Talinaceae,Caryophyllales
Tamaceae,Dioscoreaceae,Dioscoreales
Tamaricaceae,Tamaricaceae,Caryophyllales
Tamarindaceae,Fabaceae,Fabales
Tamnaceae,Dioscoreaceae,Dioscoreales
Tanacetaceae,Asteraceae,Asterales
Tapisciaceae,Tapisciaceae,Huerteales
Taxaceae,Taxaceae,Cupressales
Taxodiaceae,Cupressaceae,Cupressales
Tecophilaeaceae,Tecophilaeaceae,Asparagales
Tectariaceae,Tectariaceae,Polypodiales-eupolypod_I
Telephiaceae,Caryophyllaceae,Caryophyllales
Tepuianthaceae,Thymelaeaceae,Malvales
Terminaliaceae,Combretaceae,Myrtales
Ternstroemiaceae,Pentaphylacaceae,Ericales
Tetracarpaeaceae,Tetracarpaeaceae,Saxifragales
Tetracentraceae,Trochodendraceae,Trochodendrales
Tetrachondraceae,Tetrachondraceae,Lamiales
Tetraclinaceae,Cupressaceae,Cupressales
Tetradiclidaceae,Nitrariaceae,Sapindales
Tetragoniaceae,Aizoaceae,Caryophyllales
Tetramelaceae,Tetramelaceae,Cucurbitales
Tetrameristaceae,Tetrameristaceae,Ericales
Tetrastylidiaceae,Strombosiaceae,Santalales
Tetrathecaceae,Elaeocarpaceae,Oxalidales
Thalassiaceae,Hydrocharitaceae,Alismatales
Thalictraceae,Ranunculaceae,Ranunculales
Theaceae,Theaceae,Ericales
Theligonaceae,Rubiaceae,Gentianales
Thelypteridaceae,Thelypteridaceae,Polypodiales-eupolypod_II
Themidaceae,Asparagaceae,Asparagales
Theobromataceae,Malvaceae,Malvales
Theophrastaceae,Primulaceae,Ericales
Thesiaceae,Santalaceae,Santalales
Thismiaceae,Thismiaceae,Dioscoreales
Thlaspiaceae,Brassicaceae,Brassicales
Thoaceae,Gnetaceae,Gnetales
Thomandersiaceae,Thomandersiaceae,Lamiales
Thujaceae,Cupressaceae,Cupressales
Thujopsidaceae,Cupressaceae,Cupressales
Thunbergiaceae,Acanthaceae,Lamiales
Thurniaceae,Thurniaceae,Poales
Thymelaeaceae,Thymelaeaceae,Malvales
Thyrsopteridaceae,Thyrsopteridaceae,Cyatheales
Ticodendraceae,Ticodendraceae,Fagales
Tiliaceae,Malvaceae,Malvales
Tillaeaceae,Crassulaceae,Saxifragales
Tillandsiaceae,Bromeliaceae,Poales
Tinaceae,Viburnaceae,Dipsacales
Tithymalaceae,Euphorbiaceae,Malpighiales
Tmesipteridaceae,Psilotaceae,Ophioglossales
Tofieldiaceae,Tofieldiaceae,Alismatales
Tormentillaceae,Rosaceae,Rosales
Torreyaceae,Taxaceae,Cupressales
Torricelliaceae,Torricelliaceae,Apiales
Tovariaceae,Tovariaceae,Brassicales
Tradescantiaceae,Commelinaceae,Commelinales
Tragiaceae,Euphorbiaceae,Malpighiales
Trapaceae,Lythraceae,Myrtales
Trapellaceae,Plantaginaceae,Lamiales
Tremandraceae,Elaeocarpaceae,Oxalidales
Trewiaceae,Euphorbiaceae,Malpighiales
Tribelaceae,Escalloniaceae,Escalloniales
Tribulaceae,Zygophyllaceae,Zygophyllales
Trichomanaceae,Hymenophyllaceae,Hymenophyllales
Trichopodaceae,Dioscoreaceae,Dioscoreales
Tricyrtidaceae,Calochortoideae,Liliales
Trifoliaceae,Fabaceae,Fabales
Triglochinaceae,Juncaginaceae,Alismatales
Trigoniaceae,Trigoniaceae,Malpighiales
Trilliaceae,Melanthiaceae,Liliales
Trimeniaceae,Trimeniaceae,Austrobaileyales
Triplobaceae,Malvaceae,Malvales
Triplochitonaceae,Malvaceae,Malvales
Triplostegiaceae,Caprifoliaceae,Dipsacales
Tristichaceae,Podostemaceae,Malpighiales
Triticaceae,Poaceae,Poales
Triuridaceae,Triuridaceae,Pandanales
Trochodendraceae,Trochodendraceae,Trochodendrales
Tropaeolaceae,Tropaeolaceae,Brassicales
Tulbaghiaceae,Amaryllidaceae,Asparagales
Tulipaceae,Liliaceae,Liliales
Tumboaceae,Welwitschiaceae,Gnetales
Tupistraceae,Asparagaceae,Asparagales
Turneraceae,Passifloraceae,Malpighiales
Tussilagaceae,Asteraceae,Asterales
Typhaceae,Typhaceae,Poales
Uapacaceae,Phyllanthaceae,Malpighiales
Ullucaceae,Basellaceae,Caryophyllales
Ulmaceae,Ulmaceae,Rosales
Ulmariaceae,Rosaceae,Rosales
Umbelliferae,Apiaceae,Apiales
Unisemataceae,Pontederiaceae,Commelinales
Urticaceae,Urticaceae,Rosales
Utriculariaceae,Lentibulariaceae,Lamiales
Uvulariaceae,Colchicaceae,Liliales
Vacciniaceae,Ericaceae,Ericales
Vahliaceae,Vahliaceae,Vahliales
Valerianaceae,Caprifoliaceae,Dipsacales
Vallisneriaceae,Hydrocharitaceae,Alismatales
Vanillaceae,Orchidaceae,Asparagales
Velloziaceae,Velloziaceae,Pandanales
Veratraceae,Melanthiaceae,Liliales
Verbascaceae,Scrophulariaceae,Lamiales
Verbenaceae,Verbenaceae,Lamiales
Vernicaceae,Anacardiaceae,Sapindales
Vernoniaceae,Asteraceae,Asterales
Veronicaceae,Plantaginaceae,Lamiales
Viburnaceae,Viburnaceae,Dipsacales
Viciaceae,Fabaceae,Fabales
Vincaceae,Apocynaceae,Gentianales
Violaceae,Violaceae,Malpighiales
Viscaceae,Santalaceae,Santalales
Vitaceae,Vitaceae,Vitales
Viticaceae,Lamiaceae,Lamiales
Vittariaceae,Pteridaceae,Polypodiales
Vivianiaceae,Francoaceae,Geraniales
Vochysiaceae,Vochysiaceae,Myrtales
Wachendorfiaceae,Haemodoraceae,Commelinales
Walleriaceae,Tecophilaeaceae,Asparagales
Wellingtoniaceae,Sabiaceae,Sabiales
Wellstediaceae,Wellstediaceae,Boraginales
Welwitschiaceae,Welwitschiaceae,Gnetales
Widdringtoniaceae,Cupressaceae,Cupressales
Wightiaceae,Wightiaceae,Lamiales
Willughbieaceae,Apocynaceae,Gentianales
Winteraceae,Winteraceae,Canellales
Winteranaceae,Canellaceae,Canellales
Wolffiaceae,Araceae,Alismatales
Woodsiaceae,Woodsiaceae,eupolypod_II
Xanthiaceae,Asteraceae,Asterales
Xanthoceratceae,Sapindaceae,Sapindales
Xanthophyllaceae,Polygalaceae,Fabales
Xanthorrhoeaceae,Asphodelaceae,Asparagales
Xeranthemaceae,Asteraceae,Asterales
Xeronemataceae,Xeronemataceae,Asparagales
Xerophyllaceae,Melanthiaceae,Liliales
Ximeniaceae,Ximeniaceae,Santalales
Xiphidiaceae,Haemodoraceae,Commelinales
Xyridaceae,Xyridaceae,Poales
Yuccaceae,Asparagaceae,Asparagales
Zamiaceae,Zamiaceae,Cycadales
Zannichelliaceae,Potamogetonaceae,Alismatales
Zanoniaceae,Cucurbitaceae,Cucurbitales
Zanthoxylaceae,Rutaceae,Sapindales
Zeaceae,Poaceae,Poales
Zephyranthaceae,Amaryllidaceae,Asparagales
Zingiberaceae,Zingiberaceae,Zingiberales
Ziziphaceae,Rhamnaceae,Rosales
Zosteraceae,Zosteraceae,Alismatales
Zoysiaceae,Poaceae,Poales
Zygophyllaceae,Zygophyllaceae,Zygophyllales
